0.000000000000000000e+00,-8.901179185171080865e-01,-1.485100660521974980e+00,-2.196322330709664428e+00,-2.604380309825938600e+00,-8.901179185171080865e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000042e-03,-8.901179185171080865e-01,-1.485100660521974980e+00,-2.196322330709664428e+00,-2.604380309825938600e+00,-8.901179185171080865e-01,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000083e-03,-8.901170325006813044e-01,-1.485100338731345726e+00,-2.196315929520345378e+00,-2.604387034684247926e+00,-8.901170325037176534e-01,2.984745525839766038e-09,1.000000000000000000e+00
6.000000000000000125e-03,-8.901152604707800453e-01,-1.485099695282787735e+00,-2.196303127091474572e+00,-2.604400484318402320e+00,-8.901152604798890922e-01,8.954235198121769794e-09,1.000000000000000000e+00
8.000000000000000167e-03,-8.901126024344898635e-01,-1.485098730494788244e+00,-2.196283923302500440e+00,-2.604420658530474775e+00,-8.901126024527078462e-01,1.790846656233756389e-08,1.000000000000000000e+00
1.000000000000000021e-02,-8.901090584024371477e-01,-1.485097444845056236e+00,-2.196258317972602736e+00,-2.604447557023591653e+00,-8.901090584328004152e-01,2.984743808486010486e-08,1.000000000000000000e+00
1.200000000000000025e-02,-8.901046283887863453e-01,-1.485095838970545978e+00,-2.196226310860711628e+00,-2.604481179401891389e+00,-8.901046284343312465e-01,4.477114916154171205e-08,1.000000000000000000e+00
1.400000000000000029e-02,-8.900993124111179489e-01,-1.485094019660039955e+00,-2.196188031346713476e+00,-2.604521289496865677e+00,-8.900993124748808327e-01,1.074508674721806814e-07,1.000000000000000000e+00
1.600000000000000033e-02,-8.900931104908217373e-01,-1.485091924236994432e+00,-2.196143401273174867e+00,-2.604568028142349334e+00,-8.900931105758390638e-01,1.910238552779543717e-07,1.000000000000000000e+00
1.800000000000000211e-02,-8.900860226525787455e-01,-1.485089560864900182e+00,-2.196092428869799384e+00,-2.604621378945267907e+00,-8.900860227618867526e-01,2.984748839916076839e-07,1.000000000000000000e+00
