0.000000000000000000e+00,-8.901179185171080865e-01,-1.485100660521974980e+00,-2.196322330709664428e+00,-2.604380309825938600e+00,-8.901179185171080865e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000042e-03,-8.901179185171080865e-01,-1.485100660521974980e+00,-2.196322330709664428e+00,-2.604380309825938600e+00,-8.901179185171080865e-01,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000083e-03,-8.901179185171080865e-01,-1.485100660521974980e+00,-2.196322330709664428e+00,-2.604380309825938600e+00,-8.901179185171080865e-01,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000125e-03,-8.901171319781041591e-01,-1.485100688323750973e+00,-2.196317031618539861e+00,-2.604385582782755559e+00,-8.901171319807995586e-01,2.649633462775763971e-09,1.000000000000000000e+00
8.000000000000000167e-03,-8.901171319781041591e-01,-1.485100688323750973e+00,-2.196317031618539861e+00,-2.604385582782755559e+00,-8.901171319807995586e-01,2.649633462775763971e-09,1.000000000000000000e+00
1.000000000000000021e-02,-8.901159521714585576e-01,-1.485100730093273036e+00,-2.196309082955898884e+00,-2.604393492177078606e+00,-8.901159521781971673e-01,6.624082452775306033e-09,1.000000000000000000e+00
1.200000000000000025e-02,-8.901151656358268216e-01,-1.485100758016224765e+00,-2.196303783817733724e+00,-2.604398765059762422e+00,-8.901151656452608307e-01,9.273712993510022335e-09,1.000000000000000000e+00
1.400000000000000029e-02,-8.901142480112524957e-01,-1.485100790604847898e+00,-2.196297601485276196e+00,-2.604404916748982668e+00,-8.901142480238312116e-01,1.236495145260115757e-08,1.000000000000000000e+00
1.600000000000000033e-02,-8.901131992989960162e-01,-1.485100857182877210e+00,-2.196290571754487164e+00,-2.604411882125054145e+00,-8.901131993151685240e-01,2.826275638277366080e-08,1.000000000000000000e+00
1.800000000000000211e-02,-8.901120194996944290e-01,-1.485100899215010539e+00,-2.196282622989805144e+00,-2.604419791358819847e+00,-8.901120195199101470e-01,3.223720594691653675e-08,1.000000000000000000e+00
